custom_cityid,City,Latitude,Longitude
1_Principe_da_Beira_2008,Principe da Beira,-12.4167,-64.4166
2_Mato_Grosso_2008,Mato Grosso,-15.0,-59.95
3_Abunã_2008,Abunã,-9.6954,-65.3597
4_Amapá_2008,Amapá,2.05,-50.8
5_Xinguara_2008,Xinguara,-7.1006,-49.948
6_Tonantins_2008,Tonantins,-2.8727,-67.8019
7_Rosário_2008,Rosário,-2.94,-44.26
8_Tocantinópolis_2008,Tocantinópolis,-6.3196,-47.42
9_Sinop_2008,Sinop,-11.85,-55.46
10_Novo_Airão_2008,Novo Airão,-2.6208,-60.9438
11_Porto_Nacional_2008,Porto Nacional,-10.7,-48.4199
12_Alvorada_2008,Alvorada,-12.47,-49.082
13_Caracaraí_2008,Caracaraí,1.8162,-61.1277
14_Barcelos_2008,Barcelos,-0.975,-62.9239
15_Pedreiras_2008,Pedreiras,-4.5696,-44.67
16_São_Gabriel_da_Cachoeira_2008,São Gabriel da Cachoeira,-0.1332,-67.0833
17_Fonte_Boa_2008,Fonte Boa,-2.5138,-66.0916
18_Apodi_2008,Apodi,-5.65,-37.8
19_Ceres_2008,Ceres,-15.3033,-49.6052
20_Viseu_2008,Viseu,-1.1965,-46.14
21_Santa_Cruz_Cabrália_2008,Santa Cruz Cabrália,-16.28,-39.03
22_Paracuru_2008,Paracuru,-3.3995,-39.04
23_Itupiranga_2008,Itupiranga,-5.12,-49.3
24_Portel_2008,Portel,-1.95,-50.82
25_Manicoré_2008,Manicoré,-5.8122,-61.2975
26_Barras_2008,Barras,-4.25,-42.3
27_Eirunepé_2008,Eirunepé,-6.66,-69.8738
28_Araçuaí_2008,Araçuaí,-16.8596,-42.0699
29_Itaberaí_2008,Itaberaí,-16.02,-49.81
30_Baturité_2008,Baturité,-4.3296,-38.88
31_Maracaju_2008,Maracaju,-21.61,-55.18
32_Nova_Cruz_2008,Nova Cruz,-6.4696,-35.44
33_Quaraí_2008,Quaraí,-30.38,-56.4599
34_Santa_Maria_da_Vitória_2008,Santa Maria da Vitória,-13.39,-44.21
35_Itambé_2008,Itambé,-15.2396,-40.63
36_Guanhães_2008,Guanhães,-18.78,-42.95
37_Jardim_2008,Jardim,-21.4799,-56.15
38_Iguape_2008,Iguape,-24.72,-47.5699
39_Rolim_de_Moura_2008,Rolim de Moura,-11.7302,-61.7806
40_Pires_do_Rio_2008,Pires do Rio,-17.2995,-48.28
41_Colinas_2008,Colinas,-6.0395,-44.24
42_São_Lourenço_do_Sul_2008,São Lourenço do Sul,-31.37,-51.98
43_Lapa_2008,Lapa,-25.76,-49.73
44_Pimenta_Bueno_2008,Pimenta Bueno,-11.64,-61.21
45_Granja_2008,Granja,-3.1195,-40.84
46_Sena_Madureira_2008,Sena Madureira,-9.07,-68.67
47_Alenquer_2008,Alenquer,-1.9396,-54.79
48_Canavieiras_2008,Canavieiras,-15.64,-38.96
49_Ipú_2008,Ipú,-4.3196,-40.7201
50_Miracema_2008,Miracema,-21.41,-42.2
51_Viana_2008,Viana,-3.2096,-45.0
52_Aripuana_2008,Aripuana,-9.17,-60.64
53_Conceição_do_Araguaia_2008,Conceição do Araguaia,-8.25,-49.29
54_Colíder_2008,Colíder,-10.8173,-55.4506
55_Niquelândia_2008,Niquelândia,-14.4696,-48.47
56_Óbidos_2008,Óbidos,-1.91,-55.52
57_Santa_Vitória_do_Palmar_2008,Santa Vitória do Palmar,-33.52,-53.37
58_Santa_Cruz_2008,Santa Cruz,-6.22,-36.03
59_Iporá_2008,Iporá,-16.45,-51.13
60_Icó_2008,Icó,-6.4,-38.85
61_Ubaitaba_2008,Ubaitaba,-14.3,-39.33
62_Acaraú_2008,Acaraú,-2.8896,-40.12
63_Tauá_2008,Tauá,-5.9995,-40.31
64_Almenara_2008,Almenara,-16.17,-40.7
65_Pontes_e_Lacerda_2008,Pontes e Lacerda,-15.2196,-59.35
66_Jaguarão_2008,Jaguarão,-32.56,-53.37
67_Iturama_2008,Iturama,-19.73,-50.2
68_Novo_Horizonte_2008,Novo Horizonte,-21.4596,-49.22
69_Grajau_2008,Grajau,-5.81,-46.15
70_Presidente_Dutra_2008,Presidente Dutra,-5.25,-44.52
71_Tucano_2008,Tucano,-10.9696,-38.79
72_Barra_do_Bugres_2008,Barra do Bugres,-15.0696,-57.19
73_Jacareacanga_2008,Jacareacanga,-6.2666,-57.65
74_Campo_Maior_2008,Campo Maior,-4.82,-42.18
75_São_Luiz_Gonzaga_2008,São Luiz Gonzaga,-28.41,-54.96
76_Bocaiúva_2008,Bocaiúva,-17.1096,-43.81
77_Paranaíba_2008,Paranaíba,-19.6796,-51.2
78_Maués_2008,Maués,-3.3896,-57.72
79_Capitão_Poço_2008,Capitão Poço,-1.7496,-47.09
80_Coroatá_2008,Coroatá,-4.1296,-44.15
81_Morrinhos_2008,Morrinhos,-17.73,-49.11
82_Osório_2008,Osório,-29.88,-50.27
83_Januária_2008,Januária,-15.48,-44.37
84_Itapecuru_Mirim_2008,Itapecuru Mirim,-3.4,-44.36
85_Jacarezinho_2008,Jacarezinho,-23.1599,-49.98
86_Xique-Xique_2008,Xique-Xique,-10.82,-42.73
87_Barreiros_2008,Barreiros,-8.8296,-35.2
88_Oriximiná_2008,Oriximiná,-1.7596,-55.87
89_Açu_2008,Açu,-5.5796,-36.9101
90_São_Francisco_do_Sul_2008,São Francisco do Sul,-26.2396,-48.6
91_Guaira_2008,Guaira,-24.09,-54.27
92_Cristalina_2008,Cristalina,-16.77,-47.61
93_Rosário_do_Sul_2008,Rosário do Sul,-30.25,-54.92
94_Diamantina_2008,Diamantina,-18.24,-43.61
95_Nanuque_2008,Nanuque,-17.84,-40.35
96_Remanso_2008,Remanso,-9.5996,-42.11
97_Joaçaba_2008,Joaçaba,-27.17,-51.5
98_Pinheiro_2008,Pinheiro,-2.5196,-45.09
99_Mineiros_2008,Mineiros,-17.5695,-52.56
100_Palmas_2008,Palmas,-26.48,-52.0
101_Russas_2008,Russas,-4.94,-37.98
102_Laguna_2008,Laguna,-28.48,-48.78
103_Alta_Floresta_2008,Alta Floresta,-9.9,-55.91
104_Bom_Jesus_da_Lapa_2008,Bom Jesus da Lapa,-13.2495,-43.44
105_Aquidauana_2008,Aquidauana,-20.4696,-55.79
106_Chapadinha_2008,Chapadinha,-3.7395,-43.36
107_Frutal_2008,Frutal,-20.03,-48.94
108_Salinópolis_2008,Salinópolis,-0.6095,-47.34
109_Palmeira_dos_Índios_2008,Palmeira dos Índios,-9.4166,-36.6166
110_Garça_2008,Garça,-22.22,-49.66
111_Jaguaquara_2008,Jaguaquara,-13.53,-39.97
112_Canoinhas_2008,Canoinhas,-26.18,-50.4
113_Brumado_2008,Brumado,-14.21,-41.67
114_Castro_2008,Castro,-24.79,-50.01
115_Penedo_2008,Penedo,-10.2696,-36.58
116_Salgueiro_2008,Salgueiro,-8.0596,-39.13
117_Canindé_2008,Canindé,-4.35,-39.31
118_Araranguá_2008,Araranguá,-28.94,-49.5
119_Imbituba_2008,Imbituba,-28.2296,-48.66
120_Inhumas_2008,Inhumas,-16.36,-49.5
121_Aracati_2008,Aracati,-4.56,-37.77
122_Camocim_2008,Camocim,-2.9,-40.85
123_Piripiri_2008,Piripiri,-4.2696,-41.79
124_Cametá_2008,Cametá,-2.2396,-49.51
125_Irati_2008,Irati,-25.47,-50.66
126_Leopoldina_2008,Leopoldina,-21.53,-42.64
127_Breves_2008,Breves,-1.68,-50.49
128_Itaberaba_2008,Itaberaba,-12.5196,-40.3
129_Campo_Belo_2008,Campo Belo,-20.8896,-45.28
130_Itamaraju_2008,Itamaraju,-17.0396,-39.5299
131_Capanema_2008,Capanema,-1.19,-47.18
132_Goianésia_2008,Goianésia,-15.3096,-49.13
133_Guaxupé_2008,Guaxupé,-21.29,-46.71
134_Ponte_Nova_2008,Ponte Nova,-20.4096,-42.9
135_Rio_Verde_2008,Rio Verde,-17.8196,-50.93
136_Senhor_do_Bonfim_2008,Senhor do Bonfim,-10.4496,-40.19
