ID,Company,Business,Industry,Purpose,City,Date,Market focus,Year founded,employees
1,Eldan Recycling A/S,Manufacturer,Material Recycling,Rubber Recycling,Principe da Beira,2008,Globally,1956,101-1000
2,erdwich zerkleinerungs systeme gmbh,Manufacturer,Recycling Systems,Metal Recycling,Principe da Beira,2008,Globally,1971,11-100
3,EnviroChemie,Manufacturer,Water Treatment,Water Treatment,Principe da Beira,2008,Globally,1976,101-1000
4, GIG Karasek,Manufacturer,Environmental Management,Bio Recycling,Amapá,2008,Globally,1933,101-1000
5,ENVEA,Manufacturer,Environmental Monitoring,Air Treatment,Xinguara,2008,Globally,1978,101-1000
6,C&G Depurazione Industriale srl,Manufacturer,Water Treatment,Water Treatment,Tonantins,2008,Globally,1971,
7,Tana,Manufacturer,Waste Management,Soil Recycling,Amapá,2008,Globally,1971,
8,Servomex,Manufacturer,Monitoring and Testing,Air Treatment,Tocantinópolis,2008,Globally,1952,
9,SKYLOTEC,Manufacturer,Workplace Safety,Safety Processing,Amapá,2008,Globally,,
10,C&D,Manufacturer,Recycling Systems,Wet Waste Recycling,Principe da Beira,2008,Globally,1992,101-1000
11,ZAMI,Distributor,Water and Wastewater,Water Processing,Principe da Beira,2008,Internationally,,
12,steinert,Manufacturer,Recycling Systems,Wet Waste Recycling,Xinguara,2008,Globally,,
13,Rubberart,Manufacturer,Environmental,Rubber Recycling,Principe da Beira,2008,Globally,1951,
14,Volvo,Manufacturer,Construction & Construction Materials,Material Processing,Barcelos,2008,Globally,1832,
15,Valor,Engineering service provider,Renewable Energy,Biodiversity Treatment,Pedreiras,2008,Nationally ,,
16,lippel,Manufacturer,Waste and Recycling,Biowaste Recycling,São Gabriel da Cachoeira,2008,Nationally ,,
17,Koelnmesse,Event organizer,Environmental,Air Treatment,Fonte Boa,2008,Globally,,101-1000
18,Haws,Manufacturer,Water and Wastewater,Water Treatment,Apodi,2008,Globally,1906,
19,Purolite,Manufacturer,Plastics & Resins,Plastic Recycling,Ceres,2008,Globally,1981,
20,Reciclo Metais,Service provider,Waste and Recycling,Metal Recycling,Viseu,2008,Internationally,,
21,Daikin,Manufacturer,Fine Chemicals,Chemical Recycling,Principe da Beira,2008,Globally,1991,
22,IKA,Manufacturer,Laboratory Equipment,Magnets Processing,Paracuru,2008,Globally,1910,101-1000
